site_code/Field No.	Site	plot_number	CU Code	Year_est	Age	OS_location	Lat_long	Establishment	pH	EC	Cutting	Cattle	Sheep	Plough
26	RSPB_junction	Q1	CU0271	2007	14	SU2267739280	"51.152332, -1.6771517"	Green_hay/bush	8.41	24.6	0	0	1	0
	RSPB_junction	Q4	CU0272	2007	14	SU2267739280	"51.152332, -1.6771517"	Green_hay/bush	8.41	24.6	0	0	1	0
	RSPB_junction	Q7	CU0273	2007	14	SU2267739280	"51.152332, -1.6771517"	Green_hay/bush	8.41	24.6	0	0	1	0
	RSPB_junction	Q10	CU0274	2007	14	SU2267739280	"51.152332, -1.6771517"	Green_hay/bush	8.41	24.6	0	0	1	0
	RSPB_junction	Q13	CU0275	2007	14	SU2267739280	"51.152332, -1.6771517"	Green_hay/bush	8.41	24.6	0	0	1	0
27	RSPB_Mainline	Q1	CU0276	2016	5	SU2250539212	"51.151728, -1.6796151"	Green_hay/bush	8.48	23.4	0	0	1	0
	RSPB_Mainline	Q4	CU0277	2016	5	SU2250539212	"51.151728, -1.6796151"	Green_hay/bush	8.48	23.4	0	0	1	0
	RSPB_Mainline	Q7	CU0278	2016	5	SU2250539212	"51.151728, -1.6796151"	Green_hay/bush	8.48	23.4	0	0	1	0
	RSPB_Mainline	Q10	CU0279	2016	5	SU2250539212	"51.151728, -1.6796151"	Green_hay/bush	8.48	23.4	0	0	1	0
	RSPB_Mainline	Q13	CU0280	2016	5	SU2250539212	"51.151728, -1.6796151"	Green_hay/bush	8.48	23.4	0	0	1	0
28	Baltic_farm_1	Q1	CU0281	2005	16	SU0459767825	"51.40943, -1.9352946"	Green_hay/bush	7.94	29.2	1	1	1	0
	Baltic_farm_1	Q4	CU0282	2005	16	SU0459767825	"51.40943, -1.9352946"	Green_hay/bush	7.94	29.2	1	1	1	0
	Baltic_farm_1	Q7	CU0283	2005	16	SU0459767825	"51.40943, -1.9352946"	Green_hay/bush	7.94	29.2	1	1	1	0
	Baltic_farm_1	Q10	CU0284	2005	16	SU0459767825	"51.40943, -1.9352946"	Green_hay/bush	7.94	29.2	1	1	1	0
	Baltic_farm_1	Q13	CU0285	2005	16	SU0459767825	"51.40943, -1.9352946"	Green_hay/bush	7.94	29.2	1	1	1	0
29	Baltic_farm_2	Q1	CU0286	1998	23	SU0306867167	"51.403524, -1.9572835"	Green_hay/bush	8.27	29.6	1	1	1	0
	Baltic_farm_2	Q4	CU0287	1998	23	SU0306867167	"51.403524, -1.9572835"	Green_hay/bush	8.27	29.6	1	1	1	0
	Baltic_farm_2	Q7	CU0288	1998	23	SU0306867167	"51.403524, -1.9572835"	Green_hay/bush	8.27	29.6	1	1	1	0
	Baltic_farm_2	Q10	CU0289	1998	23	SU0306867167	"51.403524, -1.9572835"	Green_hay/bush	8.27	29.6	1	1	1	0
	Baltic_farm_2	Q13	CU0290	1998	23	SU0306867167	"51.403524, -1.9572835"	Green_hay/bush	8.27	29.6	1	1	1	0
30	WestEndFarm	Q1	CU0291	2019	2	SU0297366901	"51.401133, -1.9586514"	Green_hay/bush	8.44	24.1	1	0	1	1
	WestEndFarm	Q4	CU0292	2019	2	SU0297366901	"51.401133, -1.9586514"	Green_hay/bush	8.44	24.1	1	0	1	1
	WestEndFarm	Q7	CU0293	2019	2	SU0297366901	"51.401133, -1.9586514"	Green_hay/bush	8.44	24.1	1	0	1	1
	WestEndFarm	Q10	CU0294	2019	2	SU0297366901	"51.401133, -1.9586514"	Green_hay/bush	8.44	24.1	1	0	1	1
	WestEndFarm	Q13	CU0295	2019	2	SU0297366901	"51.401133, -1.9586514"	Green_hay/bush	8.44	24.1	1	0	1	1
31	HorntonHouseFarm_1_parallel	Q1	CU0296	2016	5	SU0584565118	"51.385079, -1.917395"	seed_mix	8.6	29.5	1	1	1	0
	HorntonHouseFarm_1_parallel	Q4	CU0297	2016	5	SU0584565118	"51.385079, -1.917395"	seed_mix	8.6	29.5	1	1	1	0
